Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type
A-02130-19,5,5721 ROYAL ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 15:45,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,43,1,Non-fatal,,Incident Report
A-02143-19,4,1310 TECHE ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 14:01,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,37,1,Non-fatal,,Incident Report
A-02145-19,5,600 LOUISA ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/2/2019 13:38,14 62,SIMPLE BURGLARY,BLACK,MALE,NULL,1,VICTIM,WHITE,FEMALE,36,1,Non-fatal,,Incident Report
A-02145-19,5,600 LOUISA ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/2/2019 13:38,14 (25) 62,ACCESSORY - SIMPLE BURGLARY,BLACK,MALE,NULL,2,VICTIM,WHITE,FEMALE,36,1,Non-fatal,,Incident Report
A-02150-19,7,4826 FRANCIS DR,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/2/2019 14:06,14 35,SIMPLE BATTERY,BLACK,FEMALE,25,1,VICTIM,BLACK,FEMALE,26,1,Non-fatal,,Supplemental Report
A-02176-19,4,726 HERALD ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 14:25,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,37,1,Non-fatal,,Incident Report
A-02176-19,4,726 HERALD ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 14:25,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,43,2,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,NULL,NULL,BLACK,FEMALE,37,1,REPORTING PERSON,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,NULL,NULL,BLACK,FEMALE,37,1,INTERVIEW,BLACK,FEMALE,29,3,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,NULL,NULL,BLACK,FEMALE,37,1,INTERVIEW,BLACK,MALE,34,5,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,54 186,THEFT,BLACK,FEMALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,54 441,RESISTING AN OFFICER,BLACK,FEMALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02182-19,4,4001 BEHRMAN HW,CLOSED,67S,SHOPLIFTING,1/2/2019 14:21,NULL,NULL,BLACK,FEMALE,37,1,INTERVIEW,BLACK,FEMALE,27,4,Non-fatal,,Incident Report
A-02183-19,2,4500 S GALVEZ WY,CLOSED,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),1/2/2019 14:43,NULL,NULL,WHITE,MALE,56,1,WITNESS,WHITE,MALE,67,1,Non-fatal,,Incident Report
A-02183-19,2,4500 S GALVEZ WY,CLOSED,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),1/2/2019 14:43,14 (27) 62,ATTEMPT - SIMPLE BURGLARY,WHITE,MALE,56,1,VICTIM,WHITE,MALE,53,1,Non-fatal,,Incident Report
A-02184-19,4,5900 TULLIS DR,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 14:05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Incident Report
A-02198-19,1,2000 CANAL ST,OPEN,24K,MEDICAL SEXUAL ASSAULT KIT PROCESSING,1/2/2019 14:45,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,UNKNOWN,NULL,NULL,1,Non-fatal,,Incident Report
A-02200-19,7,4711 REDWOOD ST,OPEN,34D,AGGRAVATED BATTERY (DOMESTIC),1/2/2019 14:46,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,52,1,VICTIM,BLACK,FEMALE,26,1,Non-fatal,,Incident Report
A-02201-19,5,1734 POLAND AV,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 12:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,HISPANIC,FEMALE,54,1,Non-fatal,,Incident Report
A-02201-19,5,1734 POLAND AV,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 12:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,HISPANIC,MALE,40,1,Non-fatal,,Incident Report
A-02212-19,5,2130 N CLAIBORNE AV,OPEN,67S,SHOPLIFTING,1/2/2019 14:32,14 67,THEFT,BLACK,MALE,NULL,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02212-19,5,2130 N CLAIBORNE AV,OPEN,67S,SHOPLIFTING,1/2/2019 14:32,NULL,NULL,BLACK,MALE,NULL,1,REPORTING PERSON,BLACK,FEMALE,NULL,1,Non-fatal,,Incident Report
A-02218-19,3,LAKESHORE & LAKE MARINA,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 15:51,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,NULL,1,Non-fatal,,Incident Report
A-02230-19,5,3300 PLEASURE ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 15:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,19,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02230-19,5,3300 PLEASURE ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 15:00,40 1792,POSSESSION UNIDENTIFIABLE FIREARM,BLACK,MALE,19,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02230-19,5,3300 PLEASURE ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 15:00,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,23,2,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02230-19,5,3300 PLEASURE ST,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 15:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,22,3,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02232-19,8,2 POYDRAS ST,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 15:30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Incident Report
A-02237-19,4,2405 SANCTUARY,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 15:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Incident Report
A-02245-19,7,CHEF MENTEUR HW & PLUM ORCHARD ST,CLOSED,17F,FUGITIVE ATTACHMENT,1/2/2019 15:20,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,67,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02248-19,2,200 HENRY CLAY AV,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 15:25,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,49,1,Non-fatal,,Incident Report
A-02248-19,2,200 HENRY CLAY AV,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 15:25,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,WHITE,FEMALE,18,1,Non-fatal,,Incident Report
A-02252-19,1,1100 N PRIEUR ST,OPEN,66D,THREATS (DOMESTIC),1/2/2019 15:00,NULL,NULL,BLACK,MALE,29,1,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-02256-19,3,4650 PARIS AV,CLOSED,21,MISCELLANEOUS INCIDENT,1/2/2019 14:45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Incident Report
A-02258-19,3,2800 ESPLANADE AV,CLOSED,35,SIMPLE BATTERY,1/2/2019 14:45,54 96,BATTERY,BLACK,MALE,21,31,VICTIM,BLACK,MALE,54,1,Non-fatal,,Incident Report
A-02259-18,4,334  LE BOEUF,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 20:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,28,1,Non-fatal,,Incident Report
A-02259-18,4,334  LE BOEUF,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 20:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,41,2,Non-fatal,,Incident Report
A-02259-19,4,334 LE BOEUF,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 22:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,28,1,Non-fatal,,Incident Report
A-02259-19,4,334 LE BOEUF,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 22:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,41,2,Non-fatal,,Incident Report
A-02261-19,2,3435 NASHVILLE AV,CLOSED,63,TRESPASSING,1/2/2019 14:37,14 62.3,UNAUTHORIZED ENTRY (INHAB.DWELLING),WHITE,MALE,56,1,VICTIM,BLACK,FEMALE,68,1,Non-fatal,,Incident Report
A-02263-18,4,3509 GARDEN OAKS DR,CLOSED,21,MISCELLANEOUS INCIDENT,1/2/2019 15:30,54 441,RESISTING AN OFFICER,BLACK,MALE,40,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02263-18,4,3509 GARDEN OAKS DR,CLOSED,21,MISCELLANEOUS INCIDENT,1/2/2019 15:30,54 153,CRIMINAL TRESPASS,BLACK,MALE,40,1,VICTIM,NULL,NULL,NULL,2,Non-fatal,,Incident Report
A-02263-19,4,3500 GARDEN OAKS DR,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 10:30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-02265-20,5,1919 MARAIS ST,OPEN,106,OBSCENITY,12/23/2019 15:21,14 106,OBSCENITY,WHITE,MALE,27,1,VICTIM,WHITE,FEMALE,32,1,Non-fatal,,Incident Report
A-02268-19,5,3320 OLIVER WHITE AV,OPEN,24,MEDICAL,1/2/2019 21:00,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,65,1,Non-fatal,,Incident Report
A-02270-19,5,1800 N DERBIGNY ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/2/2019 1:00,NULL,NULL,NULL,NULL,NULL,1,REPORTING PERSON,BLACK,MALE,NULL,1,Non-fatal,,Incident Report
A-02276-19,5,N CLAIBORNE AV & ELYSIAN FIELDS AV,OPEN,52F,FIRE,1/2/2019 15:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,MALE,57,1,Non-fatal,,Incident Report
A-02282-18,6,1805 S RAMPART ST #D,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 15:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,84,1,Non-fatal,,Incident Report
A-02282-18,6,1805 S RAMPART ST #D,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 15:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,56,1,Non-fatal,,Incident Report
A-02282-18,6,1805 S RAMPART ST #D,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 15:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,63,3,Non-fatal,,Incident Report
A-02283-19,4,2645 GALLINGHOUSE ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/2/2019 12:30,14 35.3(B)7,ACTS OF DOMESTIC VIOLENCE(STRANGULATION),BLACK,MALE,50,1,VICTIM,WHITE,FEMALE,52,1,Non-fatal,,Incident Report
A-02283-19,4,2645 GALLINGHOUSE ST,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),1/2/2019 12:30,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,50,1,VICTIM,WHITE,FEMALE,52,1,Non-fatal,,Incident Report
A-02285-19,3,1885 CRETE ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/2/2019 19:00,14 62,SIMPLE BURGLARY,UNKNOWN,NULL,NULL,1,VICTIM,BLACK,MALE,33,1,Non-fatal,,Incident Report
A-02294-18,4,105 BERKLEY,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 16:01,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,69,1,Non-fatal,,Incident Report
A-02294-18,4,105 BERKLEY,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 16:01,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,66,2,Non-fatal,,Incident Report
A-02294-19,4,105 BERKLEY,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 16:01,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,66,2,Non-fatal,,Incident Report
A-02294-19,4,105 BERKLEY,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 16:01,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,69,1,Non-fatal,,Incident Report
A-02295-19,1,15 BLUEBIRD ST,OPEN,21P,LOST PROPERTY,1/2/2019 16:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-02299-19,5,N GALVEZ ST & SPAIN ST,OPEN,67A,AUTO THEFT,1/2/2019 7:30,14 67.26,THEFT OF A MOTOR VEHICLE,NULL,NULL,NULL,1,VICTIM,HISPANIC,FEMALE,40,1,Non-fatal,,Incident Report
A-02299-19,5,N GALVEZ ST & SPAIN ST,OPEN,67A,AUTO THEFT,1/2/2019 7:30,NULL,NULL,NULL,NULL,NULL,1,INTERVIEW,HISPANIC,MALE,19,2,Non-fatal,,Incident Report
A-02303-19,6,1312 1ST ST,OPEN,63,TRESPASSING,1/2/2019 14:11,54 153,CRIMINAL TRESPASS,BLACK,MALE,32,1,VICTIM,WHITE,FEMALE,56,1,Non-fatal,,Incident Report
A-02304-19,4,4001 BEHRMAN HW,CLOSED,17F,FUGITIVE ATTACHMENT,1/2/2019 2:21,NULL,NULL,BLACK,FEMALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02307-19,6,704 HOW AV,OPEN,67S,SHOPLIFTING,1/2/2019 16:11,14 67,THEFT,BLACK,MALE,NULL,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02307-19,6,704 HOW AV,OPEN,67S,SHOPLIFTING,1/2/2019 16:11,NULL,NULL,BLACK,MALE,NULL,1,WITNESS,BLACK,FEMALE,NULL,2,Non-fatal,,Incident Report
A-02307-19,6,704 HOW AV,OPEN,67S,SHOPLIFTING,1/2/2019 16:11,NULL,NULL,BLACK,MALE,NULL,1,WITNESS,BLACK,FEMALE,NULL,3,Non-fatal,,Incident Report
A-02312-19,4,5724 TULLIS DR #A,OPEN,56,SIMPLE CRIMINAL DAMAGE,1/2/2019 17:00,NULL,NULL,NULL,NULL,NULL,1,VICTIM,BLACK,FEMALE,64,1,Non-fatal,,Incident Report
A-02323-19,6,1930  MARTIN LUTHER KING JR BD,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 16:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,38,1,Non-fatal,,Incident Report
A-02324-19,1,1400 IBERVILLE ST,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 16:26,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,WHITE,MALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02324-19,1,1400 IBERVILLE ST,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 16:26,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,WHITE,MALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02324-19,1,1400 IBERVILLE ST,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 16:26,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,WHITE,MALE,37,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02325-19,4,2008 L B LANDRY AV,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/2/2019 15:30,14 62,SIMPLE BURGLARY,UNKNOWN,NULL,NULL,1,VICTIM,BLACK,FEMALE,26,1,Non-fatal,,Incident Report
A-02327-19,7,6847 MAYO BD #B,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 16:27,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,NULL,FEMALE,NULL,1,Non-fatal,,Incident Report
A-02337-19,4,512 PELICAN AV,CLOSED,63,TRESPASSING,1/2/2019 16:25,54 153,CRIMINAL TRESPASS,WHITE,MALE,18,1,VICTIM,WHITE,FEMALE,49,1,Non-fatal,,Incident Report
A-02342-19,7,4937 OLED DR,OPEN,103D,DISTURBANCE (DOMESTIC),1/3/2019 14:00,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,29,1,Non-fatal,,Incident Report
A-02352-19,7,10101 DWYER RD,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 16:49,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,63,1,Non-fatal,,Incident Report
A-02356-19,3,5000 OLD GENTILLY RD,OPEN,43,SIMPLE RAPE,1/2/2019 4:25,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,WHITE,MALE,23,1,Non-fatal,,Incident Report
A-02375-19,5,1938 FRENCHMEN ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 17:04,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,38,1,Non-fatal,,Incident Report
A-02384-19,6,520 SAINT ANDREW ST,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/2/2019 5:30,14 62,SIMPLE BURGLARY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,31,1,Non-fatal,,Incident Report
A-02389-19,4,4348 MAPLE LEAF DR,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 17:22,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,23,2,Non-fatal,,Incident Report
A-02389-19,4,4348 MAPLE LEAF DR,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 17:22,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,30,1,Non-fatal,,Incident Report
A-02401-19,4,3500 GARDEN OAKS,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 17:24,14 95,ILLEGAL CARRYING OF WEAPON,BLACK,MALE,21,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02401-19,4,3500 GARDEN OAKS,CLOSED,95G,ILLEGAL CARRYING OF A GUN,1/2/2019 17:24,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,21,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02403-19,5,1864 N MIRO ST,CLOSED,21M,MISSING ADULT,1/2/2019 17:35,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,HISPANIC,MALE,81,2,Non-fatal,,Supplemental Report
A-02403-19,5,1864 N MIRO ST,CLOSED,21M,MISSING ADULT,1/2/2019 17:35,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,HISPANIC,MALE,74,1,Non-fatal,,Supplemental Report
A-02435-19,7,4601 WERNER DR,OPEN,66D,THREATS (DOMESTIC),1/2/2019 16:00,NULL,NULL,BLACK,MALE,34,1,WITNESS,BLACK,FEMALE,12,2,Non-fatal,,Incident Report
A-02435-19,7,4601 WERNER DR,OPEN,66D,THREATS (DOMESTIC),1/2/2019 16:00,14 38,SIMPLE ASSAULT,BLACK,MALE,34,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,,Incident Report
A-02435-19,7,4601 WERNER DR,OPEN,66D,THREATS (DOMESTIC),1/2/2019 16:00,14 79,VIOLATIONS OF PROTECTIVE ORDERS,BLACK,MALE,34,1,VICTIM,BLACK,FEMALE,33,1,Non-fatal,,Incident Report
A-02440-19,6,3332 2ND ST,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 18:35,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,48,2,Non-fatal,,Incident Report
A-02440-19,6,3332 2ND ST,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 18:35,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,WHITE,FEMALE,31,1,Non-fatal,,Incident Report
A-02444-19,5,2718 N MIRO ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 18:15,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,16,1,Non-fatal,,Incident Report
A-02444-19,5,2718 N MIRO ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 18:15,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,40,1,Non-fatal,,Incident Report
A-02444-19,5,2718 N MIRO ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 18:15,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,14,1,Non-fatal,,Incident Report
A-02450-19,2,NELSON ST & DUBLIN ST,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 18:20,54 505,SIMPLE POSSESSION OF MARIJUANA AND/OR SYNTHETIC CANNABINOIDS,BLACK,MALE,45,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02453-19,6,1899 TCHOUPITOULAS ST,CLOSED,21,MISCELLANEOUS INCIDENT,1/2/2019 18:26,PROBATION AND PAROLE,VIOLATION#,BLACK,MALE,22,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02465-19,7,WALES ST & LADY GRAY AV,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/1/2019 0:00,14 62,SIMPLE BURGLARY,NULL,NULL,NULL,1,VICTIM,BLACK,MALE,70,1,Non-fatal,,Incident Report
A-02467-19,5,1711 PAULINE ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 19:20,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,22,1,Non-fatal,,Incident Report
A-02467-19,5,1711 PAULINE ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 19:20,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,22,1,Non-fatal,,Incident Report
A-02468-19,4,3515 GARDEN OAKS DR #227,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/2/2019 15:10,14 62,SIMPLE BURGLARY,UNKNOWN,NULL,NULL,1,VICTIM,BLACK,FEMALE,29,1,Non-fatal,,Incident Report
A-02468-19,4,3515 GARDEN OAKS DR #227,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),1/2/2019 15:10,NULL,NULL,UNKNOWN,NULL,NULL,1,INTERVIEW,BLACK,MALE,11,1,Non-fatal,,Incident Report
A-02474-19,7,7180 W LAVERNE ST,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,1/2/2019 8:00,14 67,THEFT,NULL,NULL,NULL,1,VICTIM,WHITE,FEMALE,55,1,Non-fatal,,Supplemental Report
A-02475-19,7,9696 HAYNE BD,OPEN,67A,AUTO THEFT,1/1/2019 6:00,NULL,NULL,NULL,NULL,NULL,NULL,VICTIM,BLACK,MALE,26,1,Non-fatal,,Supplemental Report
A-02482-19,1,900 N ROCHEBLAVE ST,OPEN,103,DISTURBANCE,1/2/2019 18:50,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,54,1,Non-fatal,,Incident Report
A-02482-19,1,900 N ROCHEBLAVE ST,OPEN,103,DISTURBANCE,1/2/2019 18:50,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,20,1,Non-fatal,,Incident Report
A-02482-19,1,900 N ROCHEBLAVE ST,OPEN,103,DISTURBANCE,1/2/2019 18:50,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,FEMALE,50,2,Non-fatal,,Incident Report
A-02490-19,3,2561 MADRID ST #2,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 17:30,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,55,1,Non-fatal,,Incident Report
A-02490-19,3,2561 MADRID ST #2,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 17:30,NULL,NULL,NULL,NULL,NULL,NULL,INTERVIEW,BLACK,MALE,38,1,Non-fatal,,Incident Report
A-02493-19,5,3169 LAW ST,OPEN,103D,DISTURBANCE (DOMESTIC),1/2/2019 19:15,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,FEMALE,38,1,Non-fatal,,Incident Report
A-02494-19,1,2600 CONTI ST,CLOSED,37,AGGRAVATED ASSAULT,1/2/2019 19:10,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,26,1,VICTIM,BLACK,MALE,22,1,Non-fatal,,Supplemental Report
A-02498-19,2,8201  EARHART BD,CLOSED,35,SIMPLE BATTERY,1/2/2019 19:27,NULL,NULL,WHITE,MALE,28,1,NULL,NULL,NULL,NULL,NULL,Non-fatal,,Supplemental Report
A-02500-19,5,2100 HOPE ST,OPEN,21,MISCELLANEOUS INCIDENT,1/2/2019 19:30,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,NULL,NULL,NULL,1,Non-fatal,,Incident Report
A-02520-19,6,2423 S TONTI ST,OPEN,21M,MISSING ADULT,1/2/2019 19:55,NULL,NULL,BLACK,MALE,60,1,REPORTING PERSON,BLACK,FEMALE,31,1,Non-fatal,,Supplemental Report
A-02527-19,1,N ROBERTSON ST & ESPLANE AV,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 20:00,40 1023,PROHIBITED ACTS - DRUG PARAPHENALIA,BLACK,MALE,56,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Supplemental Report
A-02527-19,1,N ROBERTSON ST & ESPLANE AV,CLOSED,966,DRUG LAW VIOLATION,1/2/2019 20:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,56,1,VICTIM,NULL,NULL,NULL,1,Non-fatal,,Supplemental Report
A-02551-19,3,GENTILLY BD & DE MONTLUZIN ST,CLOSED,21,MISCELLANEOUS INCIDENT,1/2/2019 20:20,NULL,NULL,NULL,NULL,NULL,NULL,REPORTING PERSON,BLACK,MALE,24,1,Non-fatal,,Incident Report
